upc,Item,Department
11034420047,MARTINI&ROSSI VERMOUTH EXTRA DRY,Wine
11034981159,MARTINI&ROSSI VERMOUTH FIERO,Wine
11034410031,MARTINI&ROSSI VERMOUTH ROSSO,Wine
11034410048,MARTINI&ROSSI VERMOUTH ROSSO,Wine
11034410055,MARTINI&ROSSI VERMOUTH ROSSO,Wine
11034410079,MARTINI&ROSSI VERMOUTH ROSSO,Wine
80480002169,NOILLY PRAT VERMOUTH EXTRA DRY,Wine
80480002176,NOILLY PRAT VERMOUTH EXTRA DRY,Wine
80480002183,NOILLY PRAT VERMOUTH EXTRA DRY,Wine
80480217068,NOILLY PRAT VERMOUTH ROUGE(SWEET),Wine
80480217075,NOILLY PRAT VERMOUTH ROUGE(SWEET),Wine
80480217082,NOILLY PRAT VERMOUTH ROUGE(SWEET),Wine
400000010960,Bordiga Bianco Vermouth,Wine
400000007182,Bordiga Extra Dry Vermouth,Wine
8000679000112,Bordiga Rosso Vermouth,Wine
850887004352,Brovo Jammy Vermouth,Wine
850887004376,Brovo Pink Vermouth,Wine
850887004314,Brovo Witty Vermouth,Wine
3176481010764,Fleur De Roc St Emilion,Wine
3760080093725,Legrand Gros Mensang,Wine
717208883242,Talley Estate Chardonnay,Wine
717208883761,Talley Estate Pinot Noir,Wine
713382533492,Alloy Chardonnay,Wine
713382533515,Alloy Pinot Noir,Wine
742779422071,Lady Slipper Blanc,Wine
717888791127,BODEGA NORTON MALBEC RSV,Wine
55125553108,CAKEBREAD CABERNET SAUVIGNON 18,Wine
